PalashSetu Complete Hindi to Santali Word List
===============================================
Total entries: 7503
Hand-curated Hindi->Santali pairs: 7503
AI4Bharat model Ol Chiki tokens added: 0
AI4Bharat raw model tokens (Ol Chiki): 5448
Unique clean root words from model: 4597

Hindi/Phonetic Source               | Santali (Ol Chiki)          | Pronunciation (Devanagari)
----------------------------------------------------------------------------------------------------
-आ                                  | ᱼᱟ                             | -आ
-आग                                 | ᱼᱟᱜ                            | -आग
-आय                                 | ᱼᱟᱭ                            | -आय
-ए                                  | ᱼᱮ                             | -ए
-कअ                                 | ᱼᱠᱚ                            | -कअ
-ग                                  | ᱼᱜ                             | -ग
-ज                                  | ᱼᱡ                             | -ज
-प                                  | ᱼᱯ                             | -प
-पआ                                 | ᱼᱯᱟ                            | -पआ
-बआ                                 | ᱼᱵᱟ                            | -बआ
-म                                  | ᱼᱢ                             | -म
-मआ                                 | ᱼᱢᱟ                            | -मआ
-स                                  | ᱼᱥ                             | -स
-सउपउर                              | ᱼᱥᱩᱯᱩᱨ                         | -सउपउर
दआय                                 | ᱫᱟᱭ                            | दआय
दआयआ                                | ᱫᱟᱭᱟ                           | दआयआ
दआयइक                               | ᱫᱟᱭᱤᱠ                          | दआयइक
दआर                                 | ᱫᱟᱨ                            | दआर
दआरआ                                | ᱫᱟᱨᱟ                           | दआरआ
दआरआम                               | ᱫᱟᱨᱟᱢ                          | दआरआम
दआरआय                               | ᱫᱟᱨᱟᱭ                          | दआरआय
दआरआयतए                             | ᱫᱟᱨᱟᱭᱛᱮ                        | दआरआयतए
दआरए                                | ᱫᱟᱨᱮ                           | दआरए
दआरज                                | ᱫᱟᱨᱡ                           | दआरज
दआरजइलइङ                            | ᱫᱟᱨᱡᱤᱞᱤᱝ                       | दआरजइलइङ
दआल                                 | ᱫᱟᱞ                            | दआल
दआलअय                               | ᱫᱟᱞᱚᱭ                          | दआलअय
दआव                                 | ᱫᱟᱣ                            | दआव
दआस                                 | ᱫᱟᱥ                            | दआस
दआह                                 | ᱫᱟᱦ                            | दआह
दआᱹ                                 | ᱫᱟᱹ                            | दआᱹ
दआᱹकह                               | ᱫᱟᱹᱠᱷ                          | दआᱹकह
दआᱹकहइन                             | ᱫᱟᱹᱠᱷᱤᱱ                        | दआᱹकहइन
दआᱹड़                               | ᱫᱟᱹᱲ                           | दआᱹड़
दआᱹबइ                               | ᱫᱟᱹᱵᱤ                          | दआᱹबइ
दआᱹय                                | ᱫᱟᱹᱭ                           | दआᱹय
दआᱹयकआᱹ                             | ᱫᱟᱹᱭᱠᱟᱹ                        | दआᱹयकआᱹ
दआᱹल                                | ᱫᱟᱹᱞ                           | दआᱹल
दइ                                  | ᱫᱤ                             | दइ
दइक                                 | ᱫᱤᱠ                            | दइक
दइकउ                                | ᱫᱤᱠᱩ                           | दइकउ
दइन                                 | ᱫᱤᱱ                            | दइन
दइनआ                                | ᱫᱤᱱᱟ                           | दइनआ
दइनआᱹम                              | ᱫᱤᱱᱟᱹᱢ                         | दइनआᱹम
दइप                                 | ᱫᱤᱯ                            | दइप
दइबइ                                | ᱫᱤᱵᱤ                           | दइबइ
दइम                                 | ᱫᱤᱢ                            | दइम
दइयआ                                | ᱫᱤᱭᱟ                           | दइयआ
दइर                                 | ᱫᱤᱨ                            | दइर
दइल                                 | ᱫᱤᱞ                            | दइल
दइललइ                               | ᱫᱤᱞᱞᱤ                          | दइललइ
दइस                                 | ᱫᱤᱥ                            | दइस
दइसअम                               | ᱫᱤᱥᱚᱢ                          | दइसअम
दइसआ                                | ᱫᱤᱥᱟ                           | दइसआ
दइसआᱹ                               | ᱫᱤᱥᱟᱹ                          | दइसआᱹ
दइसआᱹम                              | ᱫᱤᱥᱟᱹᱢ                         | दइसआᱹम
दइसउवआᱹ                             | ᱫᱤᱥᱩᱣᱟᱹ                        | दइसउवआᱹ
दइसवआᱹ                              | ᱫᱤᱥᱣᱟᱹ                         | दइसवआᱹ
दउ                                  | ᱫᱩ                             | दउ
दउक                                 | ᱫᱩᱠ                            | दउक
दउकह                                | ᱫᱩᱠᱷ                           | दउकह
दउकहइन                              | ᱫᱩᱠᱷᱤᱱ                         | दउकहइन
दउग                                 | ᱫᱩᱜ                            | दउग
दउड़उब                              | ᱫᱩᱲᱩᱵ                          | दउड़उब
दउन                                 | ᱫᱩᱱ                            | दउन
दउनइयआᱹ                             | ᱫᱩᱱᱤᱭᱟᱹ                        | दउनइयआᱹ
दउप                                 | ᱫᱩᱯ                            | दउप
दउब                                 | ᱫᱩᱵ                            | दउब
दउम                                 | ᱫᱩᱢ                            | दउम
दउर                                 | ᱫᱩᱨ                            | दउर
दउरइब                               | ᱫᱩᱨᱤᱵ                          | दउरइब
दउरइब्                              | ᱫᱩᱨᱤᱵᱽ                         | दउरइब्
दउरग                                | ᱫᱩᱨᱜ                           | दउरग
दउरगआ                               | ᱫᱩᱨᱜᱟ                          | दउरगआ
दउरगआᱹ                              | ᱫᱩᱨᱜᱟᱹ                         | दउरगआᱹ
दउरा                                | ᱫᱟᱹᱣᱨᱟᱹ                        | दआᱹवरआᱹ
दउल                                 | ᱫᱩᱞ                            | दउल
दउलआᱹड़                             | ᱫᱩᱞᱟᱹᱲ                         | दउलआᱹड़
दउलआᱹड़इयआᱹ                         | ᱫᱩᱞᱟᱹᱲᱤᱭᱟᱹ                     | दउलआᱹड़इयआᱹ
दउवआᱹर                              | ᱫᱩᱣᱟᱹᱨ                         | दउवआᱹर
दउस                                 | ᱫᱩᱥ                            | दउस
दए                                  | ᱫᱮ                             | दए
दएकहआ                               | ᱫᱮᱠᱷᱟ                          | दएकहआ
दएकहआव                              | ᱫᱮᱠᱷᱟᱣ                         | दएकहआव
दएज                                 | ᱫᱮᱡ                            | दएज
दएजअग                               | ᱫᱮᱡᱚᱜ                          | दएजअग
दएब                                 | ᱫᱮᱵ                            | दएब
दएबइ                                | ᱫᱮᱵᱤ                           | दएबइ
दएब्                                | ᱫᱮᱵᱽ                           | दएब्
दएयआ                                | ᱫᱮᱭᱟ                           | दएयआ
दएर                                 | ᱫᱮᱨ                            | दएर
दएल                                 | ᱫᱮᱞ                            | दएल
दएव                                 | ᱫᱮᱣ                            | दएव
दएस                                 | ᱫᱮᱥ                            | दएस
दएसइ                                | ᱫᱮᱥᱤ                           | दएसइ
दओ                                  | ᱫᱳ                             | दओ
दक्षिण                              | ᱫᱟᱹᱠᱷᱤᱱ                        | दआᱹकहइन
दरअ                                 | ᱫᱨᱚ                            | दरअ
दरआ                                 | ᱫᱨᱟ                            | दरआ
दरवाजा                              | ᱫᱩᱣᱟᱹᱨ                         | दउवआᱹर
दरांती                              | ᱫᱟᱛᱨᱚᱢ                         | दआतरअम
दर्द                                | ᱦᱟᱹᱥᱩ                          | हआᱹसउ
दवा                                 | ᱨᱟᱱ                            | रआन
दवाई                                | ᱨᱟᱱ                            | रआन
दवाखाना                             | ᱦᱟᱥᱯᱤᱴᱚᱞ                       | हआसपइठअल
दस                                  | ᱜᱮᱞ                            | गएल
दसवां                               | ᱜᱮᱞᱟᱜ                          | गएलआग
दसवाँ                               | ᱜᱮᱞᱟᱜ                          | गएलआग
दसवीं                               | ᱜᱮᱞᱟᱜ                          | गएलआग
दह                                  | ᱫᱷ                             | दह
दहअ                                 | ᱫᱷᱚ                            | दहअ
दहअन                                | ᱫᱷᱚᱱ                           | दहअन
दहअम                                | ᱫᱷᱚᱢ                           | दहअम
दहअर                                | ᱫᱷᱚᱨ                           | दहअर
दहअरअम                              | ᱫᱷᱚᱨᱚᱢ                         | दहअरअम
दहअरमअ                              | ᱫᱷᱚᱨᱢᱚ                         | दहअरमअ
दहआ                                 | ᱫᱷᱟ                            | दहआ
दहआन                                | ᱫᱷᱟᱱ                           | दहआन
दहआनइ                               | ᱫᱷᱟᱱᱤ                          | दहआनइ
दहआनबआद्                            | ᱫᱷᱟᱱᱵᱟᱫᱽ                       | दहआनबआद्
दहआप                                | ᱫᱷᱟᱯ                           | दहआप
दहआबइज                              | ᱫᱷᱟᱵᱤᱡ                         | दहआबइज
दहआर                                | ᱫᱷᱟᱨ                           | दहआर
दहआरआ                               | ᱫᱷᱟᱨᱟ                          | दहआरआ
दहआरए                               | ᱫᱷᱟᱨᱮ                          | दहआरए
दहआव                                | ᱫᱷᱟᱣ                           | दहआव
दहआᱹ                                | ᱫᱷᱟᱹ                           | दहआᱹ
दहआᱹबइज                             | ᱫᱷᱟᱹᱵᱤᱡ                        | दहआᱹबइज
दहआᱹर                               | ᱫᱷᱟᱹᱨ                          | दहआᱹर
दहआᱹरइज                             | ᱫᱷᱟᱹᱨᱤᱡ                        | दहआᱹरइज
दहआᱹरतइ                             | ᱫᱷᱟᱹᱨᱛᱤ                        | दहआᱹरतइ
दहइ                                 | ᱫᱷᱤ                            | दहइ
दहइन                                | ᱫᱷᱤᱱ                           | दहइन
दहइर                                | ᱫᱷᱤᱨ                           | दहइर
दहइरइ                               | ᱫᱷᱤᱨᱤ                          | दहइरइ
दहउ                                 | ᱫᱷᱩ                            | दहउ
दहउड़इ                              | ᱫᱷᱩᱲᱤ                          | दहउड़इ
दहउर                                | ᱫᱷᱩᱨ                           | दहउर
दहउरइ                               | ᱫᱷᱩᱨᱤ                          | दहउरइ
दहएयआन                              | ᱫᱷᱮᱭᱟᱱ                         | दहएयआन
दहपउर                               | ᱫᱷᱯᱩᱨ                          | दहपउर
दहरअ                                | ᱫᱷᱨᱚ                           | दहरअ
दही                                 | ᱫᱟᱹᱦᱤ                          | दआᱹहइ
दांत                                | ᱰᱟᱴᱟ                           | डआठआ
दाँत                                | ᱰᱟᱴᱟ                           | डआठआ
दाईं                                | ᱡᱚᱡᱚᱢ                          | जअजअम
दाईं तरफ                            | ᱡᱚᱡᱚᱢ                          | जअजअम
दाएं                                | ᱡᱚᱡᱚᱢ                          | जअजअम
दादा                                | ᱦᱟᱲᱟᱢ ᱵᱟᱵᱟ                     | हआड़आम बआबआ
दादी                                | ᱵᱩᱰᱷᱤ ᱟᱭᱳ                      | बउडहइ आयओ
दादुर                               | ᱨᱚᱴᱮ                           | रअठए
दायाँ                               | ᱡᱚᱡᱚᱢ                          | जअजअम
दायें                               | ᱡᱚᱡᱚᱢ                          | जअजअम
दाल                                 | ᱫᱟᱹᱞ                           | दआᱹल
दाहिना                              | ᱡᱚᱡᱚᱢ ᱥᱮᱫ                      | जअजअम सएद
दिन                                 | ᱢᱟᱦᱟ                           | मआहआ
दिल                                 | ᱢᱚᱱᱮ                           | मअनए
दिशा                                | ᱥᱮᱫ                            | सएद
दीजिए                               | ᱮᱢ ᱵᱤᱱ                         | एम बइन
दीपक                                | ᱫᱤᱭᱟᱹ                          | दइयआᱹ
दीमक                                | ᱛᱩᱭᱩ                           | तउयउ
दीया                                | ᱫᱤᱭᱟᱹ                          | दइयआᱹ
दीवार                               | ᱵᱷᱤᱛ                           | बहइत
दुख                                 | ᱫᱩᱠᱷ                           | दउकह
दुगुना                              | ᱵᱟᱨ ᱫᱷᱟᱣ                       | बआर दहआव
दुनिया                              | ᱫᱩᱱᱤᱭᱟᱹ                        | दउनइयआᱹ
दुमका                               | ᱫᱩᱢᱠᱟ                          | दउमकआ
दुर्बलता                            | ᱞᱤᱪᱟᱹᱲ                         | लइचआᱹड़
दुलार                               | ᱫᱩᱞᱟᱹᱲ                         | दउलआᱹड़
दूध                                 | ᱛᱚᱣᱟ                           | तअवआ
दूर                                 | ᱥᱟᱺᱜᱤᱧ                         | सआःगइञ
दूसरा                               | ᱫᱚᱥᱟᱨ                          | दअसआर
दूसरी                               | ᱫᱚᱥᱟᱨ                          | दअसआर
दे                                  | ᱮᱢ                             | एम
देइए                                | ᱮᱢ ᱵᱤᱱ                         | एम बइन
देई                                 | ᱮᱢ ᱠᱮᱫᱼᱟ                       | एम कएद-आ
देए                                 | ᱮᱢ ᱠᱮᱫ ᱠᱚ                      | एम कएद कअ
देएंगे                              | ᱮᱢᱼᱟᱵᱚ                         | एम-आबअ
देएगा                               | ᱮᱢᱼᱟᱭ                          | एम-आय
देएगी                               | ᱮᱢᱼᱟᱭ                          | एम-आय
देओ                                 | ᱮᱢ ᱢᱮ                          | एम मए
देकर                                | ᱮᱢ ᱠᱟᱛᱮ                        | एम कआतए
देख                                 | ᱧᱮᱞ                            | ञएल
देखइए                               | ᱧᱮᱞ ᱵᱤᱱ                        | ञएल बइन
देखई                                | ᱧᱮᱞ ᱠᱮᱫᱼᱟ                      | ञएल कएद-आ
देखए                                | ᱧᱮᱞ ᱠᱮᱫ ᱠᱚ                     | ञएल कएद कअ
देखएंगे                             | ᱧᱮᱞᱼᱟᱵᱚ                        | ञएल-आबअ
देखएगा                              | ᱧᱮᱞᱼᱟᱭ                         | ञएल-आय
देखएगी                              | ᱧᱮᱞᱼᱟᱭ                         | ञएल-आय
देखओ                                | ᱧᱮᱞ ᱢᱮ                         | ञएल मए
देखकर                               | ᱧᱮᱞ ᱠᱟᱛᱮ                       | ञएल कआतए
देखता                               | ᱧᱮᱞᱜ                           | ञएलग
देखता है                            | ᱧᱮᱞ ᱠᱟᱱᱟᱭ                      | ञएल कआनआय
देखती                               | ᱧᱮᱞᱜ                           | ञएलग
देखती है                            | ᱧᱮᱞ ᱠᱟᱱᱟᱭ                      | ञएल कआनआय
देखते                               | ᱧᱮᱞᱜ ᱠᱚ                        | ञएलग कअ
देखते हैं                           | ᱧᱮᱞ ᱠᱟᱱᱟᱠᱚ                     | ञएल कआनआकअ
देखना                               | ᱧᱮᱞ                            | ञएल
देखने                               | ᱧᱮᱞ ᱞᱟᱹᱜᱤᱫ                     | ञएल लआᱹगइद
देखया                               | ᱧᱮᱞ ᱠᱮᱫᱼᱟ                      | ञएल कएद-आ
देखा                                | ᱧᱮᱞ ᱠᱮᱫᱼᱟ                      | ञएल कएद-आ
देखी                                | ᱧᱮᱞ ᱠᱮᱫᱼᱟ                      | ञएल कएद-आ
देखे                                | ᱧᱮᱞ ᱠᱮᱫ ᱠᱚ                     | ञएल कएद कअ
देखो                                | ᱧᱮᱞ ᱢᱮ                         | ञएल मए
देता                                | ᱮᱢᱜ                            | एमग
देता है                             | ᱮᱢ ᱠᱟᱱᱟᱭ                       | एम कआनआय
देती                                | ᱮᱢᱜ                            | एमग
देती है                             | ᱮᱢ ᱠᱟᱱᱟᱭ                       | एम कआनआय
देते                                | ᱮᱢᱜ ᱠᱚ                         | एमग कअ
देते हैं                            | ᱮᱢ ᱠᱟᱱᱟᱠᱚ                      | एम कआनआकअ
देना                                | ᱮᱢ                             | एम
देने                                | ᱮᱢ ᱞᱟᱹᱜᱤᱫ                      | एम लआᱹगइद
देया                                | ᱮᱢ ᱠᱮᱫᱼᱟ                       | एम कएद-आ
देवघर                               | ᱫᱮᱵᱜᱷᱚᱨ                        | दएबगहअर
देा                                 | ᱮᱢ ᱠᱮᱫᱼᱟ                       | एम कएद-आ
देी                                 | ᱮᱢ ᱠᱮᱫᱼᱟ                       | एम कएद-आ
देे                                 | ᱮᱢ ᱠᱮᱫ ᱠᱚ                      | एम कएद कअ
दो                                  | ᱵᱟᱨ                            | बआर
दो और दो चार होते हैं               | ᱵᱟᱨ ᱟᱨ ᱵᱟᱨ ᱫᱚ ᱯᱩᱱ ᱦᱩᱭᱩᱜᱼᱟ      | बआर आर बआर दअ पउन हउयउग-आ
दोगुना                              | ᱵᱟᱨ ᱫᱷᱟᱣ                       | बआर दहआव
दोपहर                               | ᱛᱤᱠᱤᱱ                          | तइकइन
दोस्त                               | ᱜᱟᱛᱮ                           | गआतए
दौड़                                | ᱫᱟᱹᱲ                           | दआᱹड़
दौड़इए                              | ᱫᱟᱹᱲ ᱵᱤᱱ                       | दआᱹड़ बइन
दौड़ई                               | ᱫᱟᱹᱲ ᱠᱮᱫᱼᱟ                     | दआᱹड़ कएद-आ
दौड़ए                               | ᱫᱟᱹᱲ ᱠᱮᱫ ᱠᱚ                    | दआᱹड़ कएद कअ
दौड़एंगे                            | ᱫᱟᱹᱲᱼᱟᱵᱚ                       | दआᱹड़-आबअ
दौड़एगा                             | ᱫᱟᱹᱲᱼᱟᱭ                        | दआᱹड़-आय
दौड़एगी                             | ᱫᱟᱹᱲᱼᱟᱭ                        | दआᱹड़-आय
दौड़ओ                               | ᱫᱟᱹᱲ ᱢᱮ                        | दआᱹड़ मए
दौड़कर                              | ᱫᱟᱹᱲ ᱠᱟᱛᱮ                      | दआᱹड़ कआतए
दौड़ता                              | ᱫᱟᱹᱲᱜ                          | दआᱹड़ग
दौड़ता है                           | ᱫᱟᱹᱲ ᱠᱟᱱᱟᱭ                     | दआᱹड़ कआनआय
दौड़ती                              | ᱫᱟᱹᱲᱜ                          | दआᱹड़ग
दौड़ती है                           | ᱫᱟᱹᱲ ᱠᱟᱱᱟᱭ                     | दआᱹड़ कआनआय
दौड़ते                              | ᱫᱟᱹᱲᱜ ᱠᱚ                       | दआᱹड़ग कअ
दौड़ते हैं                          | ᱫᱟᱹᱲ ᱠᱟᱱᱟᱠᱚ                    | दआᱹड़ कआनआकअ
दौड़ना                              | ᱫᱟᱹᱲ                           | दआᱹड़
दौड़ने                              | ᱫᱟᱹᱲ ᱞᱟᱹᱜᱤᱫ                    | दआᱹड़ लआᱹगइद
दौड़या                              | ᱫᱟᱹᱲ ᱠᱮᱫᱼᱟ                     | दआᱹड़ कएद-आ
दौड़ा                               | ᱫᱟᱹᱲ ᱠᱮᱫᱼᱟ                     | दआᱹड़ कएद-आ
दौड़ी                               | ᱫᱟᱹᱲ ᱠᱮᱫᱼᱟ                     | दआᱹड़ कएद-आ
दौड़े                               | ᱫᱟᱹᱲ ᱠᱮᱫ ᱠᱚ                    | दआᱹड़ कएद कअ
दौड़ो                               | ᱫᱟᱹᱲ ᱢᱮ                        | दआᱹड़ मए
द्                                  | ᱫᱽ                             | द्
द्रअ                                | ᱫᱽᱨᱚ                           | द्रअ
द्रआ                                | ᱫᱽᱨᱟ                           | द्रआ
द्रइ                                | ᱫᱽᱨᱤ                           | द्रइ
द्वार                               | ᱫᱩᱣᱟᱹᱨ                         | दउवआᱹर
द्वितीय                             | ᱫᱚᱥᱟᱨ                          | दअसआर
धनबाद                               | ᱫᱷᱚᱱᱵᱟᱫ                        | दहअनबआद
धनुष                                | ᱟᱜ                             | आग
धन्यवाद                             | ᱥᱟᱨᱦᱟᱣ                         | सआरहआव
धरती                                | ᱫᱷᱟᱹᱨᱛᱤ                        | दहआᱹरतइ
धान                                 | ᱦᱳᱲᱳ                           | हओड़ओ
धीमा                                | ᱟᱹᱥᱛᱮ                          | आᱹसतए
धीमे                                | ᱟᱹᱥᱛᱮ ᱛᱮ                       | आᱹसतए तए
धुआं                                | ᱫᱷᱩᱶᱟᱹ                         | दहउव्आᱹ
धुआँ                                | ᱫᱷᱩᱶᱟᱹ                         | दहउव्आᱹ
धूप                                 | ᱥᱤᱛᱩᱝ                          | सइतउङ
धूल                                 | ᱦᱟᱥᱟ                           | हआसआ
धो                                  | ᱟᱹᱨᱩᱵ                          | आᱹरउब
धोइए                                | ᱟᱹᱨᱩᱵ ᱵᱤᱱ                      | आᱹरउब बइन
धोई                                 | ᱟᱹᱨᱩᱵ ᱠᱮᱫᱼᱟ                    | आᱹरउब कएद-आ
धोए                                 | ᱟᱹᱨᱩᱵ ᱠᱮᱫ ᱠᱚ                   | आᱹरउब कएद कअ
धोएंगे                              | ᱟᱹᱨᱩᱵᱼᱟᱵᱚ                      | आᱹरउब-आबअ
धोएगा                               | ᱟᱹᱨᱩᱵᱼᱟᱭ                       | आᱹरउब-आय
धोएगी                               | ᱟᱹᱨᱩᱵᱼᱟᱭ                       | आᱹरउब-आय
धोओ                                 | ᱟᱹᱨᱩᱵ ᱢᱮ                       | आᱹरउब मए
धोकर                                | ᱟᱹᱨᱩᱵ ᱠᱟᱛᱮ                     | आᱹरउब कआतए
धोता                                | ᱟᱹᱨᱩᱵᱜ                         | आᱹरउबग
धोता है                             | ᱟᱹᱨᱩᱵ ᱠᱟᱱᱟᱭ                    | आᱹरउब कआनआय
धोती                                | ᱫᱷᱩᱛᱤ                          | दहउतइ
धोती है                             | ᱟᱹᱨᱩᱵ ᱠᱟᱱᱟᱭ                    | आᱹरउब कआनआय
धोते                                | ᱟᱹᱨᱩᱵᱜ ᱠᱚ                      | आᱹरउबग कअ
धोते हैं                            | ᱟᱹᱨᱩᱵ ᱠᱟᱱᱟᱠᱚ                   | आᱹरउब कआनआकअ
धोना                                | ᱟᱹᱨᱩᱵ                          | आᱹरउब
धोने                                | ᱟᱹᱨᱩᱵ ᱞᱟᱹᱜᱤᱫ                   | आᱹरउब लआᱹगइद
धोया                                | ᱟᱹᱨᱩᱵ ᱠᱮᱫᱼᱟ                    | आᱹरउब कएद-आ
धोा                                 | ᱟᱹᱨᱩᱵ ᱠᱮᱫᱼᱟ                    | आᱹरउब कएद-आ
धोी                                 | ᱟᱹᱨᱩᱵ ᱠᱮᱫᱼᱟ                    | आᱹरउब कएद-आ
धोे                                 | ᱟᱹᱨᱩᱵ ᱠᱮᱫ ᱠᱚ                   | आᱹरउब कएद कअ
ध्यान से सुनो                       | ᱫᱷᱮᱭᱟᱱ ᱛᱮ ᱟᱧᱡᱚᱢ ᱢᱮ             | दहएयआन तए आञजअम मए
नअ                                  | ᱱᱚ                             | नअ
नअंडए                               | ᱱᱚᱸᱰᱮ                          | नअंडए
नअंडएन                              | ᱱᱚᱸᱰᱮᱱ                         | नअंडएन
नअंडएनआग                            | ᱱᱚᱸᱰᱮᱱᱟᱜ                       | नअंडएनआग
नअआ                                 | ᱱᱚᱟ                            | नअआ
नअग                                 | ᱱᱚᱜ                            | नअग
नअगअर                               | ᱱᱚᱜᱚᱨ                          | नअगअर
नअगअरपआलइकआ                         | ᱱᱚᱜᱚᱨᱯᱟᱞᱤᱠᱟ                    | नअगअरपआलइकआ
नअङ                                 | ᱱᱚᱝ                            | नअङ
नअङकआ                               | ᱱᱚᱝᱠᱟ                          | नअङकआ
नअङकआन                              | ᱱᱚᱝᱠᱟᱱ                         | नअङकआन
नअजअर                               | ᱱᱚᱡᱚᱨ                          | नअजअर
नअठ                                 | ᱱᱚᱴ                            | नअठ
नअडए                                | ᱱᱚᱰᱮ                           | नअडए
नअडएन                               | ᱱᱚᱰᱮᱱ                          | नअडएन
नअडएनआग                             | ᱱᱚᱰᱮᱱᱟᱜ                        | नअडएनआग
नअतए                                | ᱱᱚᱛᱮ                           | नअतए
नअन                                 | ᱱᱚᱱ                            | नअन
नअनडए                               | ᱱᱚᱱᱰᱮ                          | नअनडए
नअब                                 | ᱱᱚᱵ                            | नअब
नअबआ                                | ᱱᱚᱵᱟ                           | नअबआ
नअबएल                               | ᱱᱚᱵᱮᱞ                          | नअबएल
नअबह                                | ᱱᱚᱵᱷ                           | नअबह
नअबहएमबअर                           | ᱱᱚᱵᱷᱮᱢᱵᱚᱨ                      | नअबहएमबअर
नअम                                 | ᱱᱚᱢ                            | नअम
नअमबअर                              | ᱱᱚᱢᱵᱚᱨ                         | नअमबअर
नअय                                 | ᱱᱚᱭ                            | नअय
नअर                                 | ᱱᱚᱨ                            | नअर
नअल                                 | ᱱᱚᱞ                            | नअल
नअव                                 | ᱱᱚᱣ                            | नअव
नअवआ                                | ᱱᱚᱣᱟ                           | नअवआ
नअव्                                | ᱱᱚᱶ                            | नअव्
नअव्आ                               | ᱱᱚᱶᱟ                           | नअव्आ
नआ                                  | ᱱᱟ                             | नआ
नआकहआ                               | ᱱᱟᱠᱷᱟ                          | नआकहआ
नआग                                 | ᱱᱟᱜ                            | नआग
नआगअरइक                             | ᱱᱟᱜᱚᱨᱤᱠ                        | नआगअरइक
नआगआ                                | ᱱᱟᱜᱟ                           | नआगआ
नआगआम                               | ᱱᱟᱜᱟᱢ                          | नआगआम
नआगआमइयआᱹ                           | ᱱᱟᱜᱟᱢᱤᱭᱟᱹ                      | नआगआमइयआᱹ
नआगआर                               | ᱱᱟᱜᱟᱨ                          | नआगआर
नआगआरइयआ                            | ᱱᱟᱜᱟᱨᱤᱭᱟ                       | नआगआरइयआ
नआगआरइयआᱹ                           | ᱱᱟᱜᱟᱨᱤᱭᱟᱹ                      | नआगआरइयआᱹ
नआगआल                               | ᱱᱟᱜᱟᱞ                          | नआगआल
नआगआलएनड                            | ᱱᱟᱜᱟᱞᱮᱱᱰ                       | नआगआलएनड
नआग्                                | ᱱᱟᱜᱽ                           | नआग्
नआग्पउर                             | ᱱᱟᱜᱽᱯᱩᱨ                        | नआग्पउर
नआङ                                 | ᱱᱟᱝ                            | नआङ
नआङग्                               | ᱱᱟᱝᱜᱽ                          | नआङग्
नआचअनइयआᱹ                           | ᱱᱟᱪᱚᱱᱤᱭᱟᱹ                      | नआचअनइयआᱹ
नआचआर                               | ᱱᱟᱪᱟᱨ                          | नआचआर
नआठ                                 | ᱱᱟᱴ                            | नआठ
नआठअक                               | ᱱᱟᱴᱚᱠ                          | नआठअक
नआत                                 | ᱱᱟᱛ                            | नआत
नआतह                                | ᱱᱟᱛᱷ                           | नआतह
नआन                                 | ᱱᱟᱱ                            | नआन
नआनआ                                | ᱱᱟᱱᱟ                           | नआनआ
नआपआ                                | ᱱᱟᱯᱟ                           | नआपआ
नआपआय                               | ᱱᱟᱯᱟᱭ                          | नआपआय
नआम                                 | ᱱᱟᱢ                            | नआम
नआमआ                                | ᱱᱟᱢᱟ                           | नआमआ
नआमइ                                | ᱱᱟᱢᱤ                           | नआमइ
नआय                                 | ᱱᱟᱭ                            | नआय
नआयअक                               | ᱱᱟᱭᱚᱠ                          | नआयअक
नआयठएड                              | ᱱᱟᱭᱴᱮᱰ                         | नआयठएड
नआर                                 | ᱱᱟᱨ                            | नआर
नआरआय                               | ᱱᱟᱨᱟᱭ                          | नआरआय
नआरआयअन                             | ᱱᱟᱨᱟᱭᱚᱱ                        | नआरआयअन
नआरइ                                | ᱱᱟᱨᱤ                           | नआरइ
नआल                                 | ᱱᱟᱞ                            | नआल
नआलअय                               | ᱱᱟᱞᱚᱭ                          | नआलअय
नआलआ                                | ᱱᱟᱞᱟ                           | नआलआ
नआलइ                                | ᱱᱟᱞᱤ                           | नआलइ
नआव                                 | ᱱᱟᱣ                            | नआव
नआवआ                                | ᱱᱟᱣᱟ                           | नआवआ
नआव्आ                               | ᱱᱟᱶᱟ                           | नआव्आ
नआस                                 | ᱱᱟᱥ                            | नआस
नआसए                                | ᱱᱟᱥᱮ                           | नआसए
नआहआ                                | ᱱᱟᱦᱟ                           | नआहआ
नआहआग                               | ᱱᱟᱦᱟᱜ                          | नआहआग
नआहआचआर                             | ᱱᱟᱦᱟᱪᱟᱨ                        | नआहआचआर
नआᱹ                                 | ᱱᱟᱹ                            | नआᱹ
नआᱹग                                | ᱱᱟᱹᱜ                           | नआᱹग
नआᱹङ                                | ᱱᱟᱹᱝ                           | नआᱹङ
नआᱹत                                | ᱱᱟᱹᱛ                           | नआᱹत
नआᱹम                                | ᱱᱟᱹᱢ                           | नआᱹम
नआᱹमइ                               | ᱱᱟᱹᱢᱤ                          | नआᱹमइ
नआᱹय                                | ᱱᱟᱹᱭ                           | नआᱹय
नआᱹर                                | ᱱᱟᱹᱨ                           | नआᱹर
नआᱹरइ                               | ᱱᱟᱹᱨᱤ                          | नआᱹरइ
नआᱹव                                | ᱱᱟᱹᱣ                           | नआᱹव
नइ                                  | ᱱᱤ                             | नइ
नइक                                 | ᱱᱤᱠ                            | नइक
नइङ                                 | ᱱᱤᱝ                            | नइङ
नइज                                 | ᱱᱤᱡ                            | नइज
नइजअर                               | ᱱᱤᱡᱚᱨ                          | नइजअर
नइजआम                               | ᱱᱤᱡᱟᱢ                          | नइजआम
नइजए                                | ᱱᱤᱡᱮ                           | नइजए
नइजएर                               | ᱱᱤᱡᱮᱨ                          | नइजएर
